,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/astro_augmentation,config/batch_size_classifier,config/batch_size_encoder,config/beta_loss,config/encoder_name,config/image_size,config/lr_classifier,config/lr_encoder,config/method,config/optimizer_classifier,config/optimizer_encoder,config/projection_dim,config/temperature,config/with_features,logdir
107,0.862000,120.114338,False,,,123,7c11148d58f24c74b9e42363afe6bc63,2021-11-23_06-38-49,1637660329,15636.817225,303228,deeptime,172.17.28.76,15636.817225,0,123,d2e77e90,3,True,70,350,0.008984,pstamps,21,0.007120,0.242250,supcon,SGD,SGD,100,0.000895,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_d2e77e90
108,0.908000,122.153057,False,,,326,9876f660501742c8a9861be8c0464cb6,2021-11-23_13-49-47,1637686187,41193.821808,303230,deeptime,172.17.28.76,41193.821808,0,326,b75d7498,0,True,70,350,0.002231,pstamps,21,0.007120,0.000513,supcon,SGD,AdamW,100,0.009503,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_b75d7498
109,0.906000,58.244004,False,,,427,7c21b6f90b164fbca55763b80d0586b6,2021-11-23_20-54-51,1637711691,42878.863415,303235,deeptime,172.17.28.76,42878.863415,0,427,69bab9de,1,True,70,350,0.002231,pstamps,21,0.007120,0.000513,supcon,SGD,AdamW,100,0.009503,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_69bab9de
110,0.894000,111.142346,False,,,221,ebfd977f709445d7bc8d0ba3e33a1aec,2021-11-23_16-40-57,1637696457,27243.220213,303238,deeptime,172.17.28.76,27243.220213,0,221,db3e550c,2,True,70,350,0.002231,pstamps,21,0.007120,0.000513,supcon,SGD,AdamW,100,0.009503,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_db3e550c
111,0.906000,60.778308,False,,,484,914c2085ce7f4661b2679d44f5ea6e7f,2021-11-23_22-24-04,1637717044,44032.899031,303231,deeptime,172.17.28.76,44032.899031,0,484,cf0acdb4,3,True,70,350,0.002231,pstamps,21,0.007120,0.000513,supcon,SGD,AdamW,100,0.009503,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_cf0acdb4
112,0.884000,86.192974,False,,,59,21d8fe8a3f564866a7cacd1aec4396ab,2021-11-23_18-42-53,1637703773,5800.354185,1094860,deeptime,172.17.28.76,5800.354185,0,59,a598c270,0,True,70,200,0.001132,pstamps,21,0.007120,0.037161,supcon,SGD,AdamW,100,0.021210,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_a598c270
113,0.886000,61.990581,False,,,114,ca24e4bd0938426ead06f0b2b59890ed,2021-11-23_21-14-09,1637712849,7232.205619,1158294,deeptime,172.17.28.76,7232.205619,0,114,c32d542e,1,True,70,200,0.001132,pstamps,21,0.007120,0.037161,supcon,SGD,AdamW,100,0.021210,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_c32d542e
114,0.884000,63.574136,False,,,65,2bb67b67e16f4b4da0e62acd693f04a2,2021-11-23_21-43-30,1637714610,4096.789418,1196648,deeptime,172.17.28.76,4096.789418,0,65,94324d16,2,True,70,200,0.001132,pstamps,21,0.007120,0.037161,supcon,SGD,AdamW,100,0.021210,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_94324d16
115,0.888000,64.921089,False,,,133,3cbdefa5db7b4549b9de88f90bac580b,2021-11-24_00-54-20,1637726060,8361.692162,1253362,deeptime,172.17.28.76,8361.692162,0,133,faddb018,3,True,70,200,0.001132,pstamps,21,0.007120,0.037161,supcon,SGD,AdamW,100,0.021210,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_faddb018
116,0.868000,60.625321,False,,,179,0963bfe0984d4819996444a6e254d7d6,2021-11-24_01-59-41,1637729981,10794.871294,1265059,deeptime,172.17.28.76,10794.871294,0,179,b4bdd192,0,True,70,350,0.001768,pstamps,21,0.007120,0.000404,supcon,SGD,LARS,100,0.004931,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_b4bdd192
117,0.866000,60.170328,False,,,186,be12998d18454518b533fdc4135e3591,2021-11-24_02-35-46,1637732146,11223.577393,1278761,deeptime,172.17.28.76,11223.577393,0,186,2b3f905a,1,True,70,350,0.001768,pstamps,21,0.007120,0.000404,supcon,SGD,LARS,100,0.004931,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_2b3f905a
118,0.868000,60.645186,False,,,171,d6048a988e8d45ffa38fc506b4937fa3,2021-11-24_02-54-34,1637733274,10280.176171,1295086,deeptime,172.17.28.76,10280.176171,0,171,36657e32,2,True,70,350,0.001768,pstamps,21,0.007120,0.000404,supcon,SGD,LARS,100,0.004931,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_36657e32
119,0.868000,60.769850,False,,,211,b55ecaa6780a4711b4bda382ffe9a1fb,2021-11-24_06-08-19,1637744899,12520.321996,1369451,deeptime,172.17.28.76,12520.321996,0,211,099792be,3,True,70,350,0.001768,pstamps,21,0.007120,0.000404,supcon,SGD,LARS,100,0.004931,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_099792be
120,0.868000,63.968322,False,,,112,29cc7fad44074c05b52d219b491f053a,2021-11-24_05-36-43,1637743003,7007.430918,1398787,deeptime,172.17.28.76,7007.430918,0,112,e42050e6,0,True,70,200,0.003577,pstamps,21,0.007120,0.065922,supcon,SGD,AdamW,100,0.274014,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_e42050e6
121,0.874000,64.891737,False,,,59,87f96ff7302f4091ac20c82a34c03979,2021-11-24_05-16-14,1637741774,3673.546901,1415883,deeptime,172.17.28.76,3673.546901,0,59,5048133c,1,True,70,200,0.003577,pstamps,21,0.007120,0.065922,supcon,SGD,AdamW,100,0.274014,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_5048133c
122,0.888000,34.022086,False,,,260,7f48ff0e6bcd4b2f8b814cad13217800,2021-11-24_08-21-31,1637752891,13670.534247,1424778,deeptime,172.17.28.76,13670.534247,0,260,363aed52,2,True,70,200,0.003577,pstamps,21,0.007120,0.065922,supcon,SGD,AdamW,100,0.274014,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_363aed52
123,0.882000,31.622476,False,,,301,3b78bbf8a6a8497685039274cb91e5bd,2021-11-24_10-02-04,1637758924,10882.400074,1496235,deeptime,172.17.28.76,10882.400074,0,301,d212430e,3,True,70,200,0.003577,pstamps,21,0.007120,0.065922,supcon,SGD,AdamW,100,0.274014,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_d212430e
124,0.200000,113.713801,False,,,1,6c3b4773d40144b2b84c003047be8d8d,2021-11-22_21-24-46,1637627086,113.713801,464779,deeptime,172.17.28.76,113.713801,0,1,7a274370,0,False,70,200,0.000220,resnet18,21,0.007120,0.195489,supcon,SGD,AdamW,100,0.000213,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_7a274370
125,0.200000,114.852981,False,,,1,4b78bd9c1d2c462393ccddd8c3d69101,2021-11-22_21-24-47,1637627087,114.852981,464775,deeptime,172.17.28.76,114.852981,0,1,7a274371,1,False,70,200,0.000220,resnet18,21,0.007120,0.195489,supcon,SGD,AdamW,100,0.000213,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_7a274371
126,0.200000,115.524569,False,,,1,a997eb3634984f959ea365f5504838e5,2021-11-22_21-24-49,1637627089,115.524569,464776,deeptime,172.17.28.76,115.524569,0,1,7a274372,2,False,70,200,0.000220,resnet18,21,0.007120,0.195489,supcon,SGD,AdamW,100,0.000213,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_7a274372
127,0.200000,118.051867,False,,,1,1750d6c92fb54405a216b1d03f77e401,2021-11-22_21-24-51,1637627091,118.051867,464780,deeptime,172.17.28.76,118.051867,0,1,7a274373,3,False,70,200,0.000220,resnet18,21,0.007120,0.195489,supcon,SGD,AdamW,100,0.000213,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_7a274373
128,0.200000,105.912931,False,,,1,aa33cd64c1584409a656a805447c2e97,2021-11-22_21-26-44,1637627204,105.912931,464782,deeptime,172.17.28.76,105.912931,0,1,7a274374,0,False,70,500,0.084197,resnet18,21,0.007120,0.027333,supcon,SGD,LARS,100,0.000396,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_7a274374
129,0.200000,102.887488,False,,,1,f031d9e076fb42e8a9efbdda32ca552b,2021-11-22_21-26-41,1637627201,102.887488,464778,deeptime,172.17.28.76,102.887488,0,1,c3f4f312,1,False,70,500,0.084197,resnet18,21,0.007120,0.027333,supcon,SGD,LARS,100,0.000396,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_c3f4f312
130,0.200000,104.978965,False,,,1,659bc95d425d4689a708115d967a9b75,2021-11-22_21-26-44,1637627204,104.978965,464781,deeptime,172.17.28.76,104.978965,0,1,c3f4f313,2,False,70,500,0.084197,resnet18,21,0.007120,0.027333,supcon,SGD,LARS,100,0.000396,True,/home/rvidal/hyperparameter_tuning/SimCLR/id_c3f4f313
